T,D
499,0.286577
500,0.286577
501,0.286577
502,0.286577
503,0.300248
504,0.313918
505,0.38227
506,0.38227
507,0.395941
508,0.395941
509,0.395941
510,0.395941
511,0.395941
512,0.409611
513,0.409611
514,0.409611
515,0.409611
516,0.409611
517,0.409611
518,0.409611
519,0.395941
520,0.395941
521,0.395941
522,0.395941
523,0.3686
524,0.354929
525,0.341259
526,0.327588
527,0.327588
528,0.300248
529,0.300248
530,0.286577
531,0.286577
532,0.286577
533,0.286577
534,0.286577
535,0.286577
536,0.286577
537,0.286577
538,0.272907
539,0.272907
540,0.272907
541,0.272907
542,0.272907
543,0.272907
544,0.272907
545,0.272907
546,0.272907
547,0.272907
548,0.272907
549,0.272907
550,0.272907
551,0.272907
552,0.286577
553,0.286577
554,0.286577
555,0.300248
556,0.354929
557,0.354929
558,0.38227
559,0.38227
560,0.38227
561,0.38227
562,0.38227
563,0.38227
564,0.354929
565,0.354929
566,0.341259
567,0.341259
568,0.341259
569,0.327588
570,0.327588
571,0.327588
572,0.327588
573,0.313918
574,0.300248
575,0.300248
576,0.300248
577,0.300248
578,0.300248
579,0.272907
580,0.272907
581,0.272907
582,0.272907
583,0.272907
584,0.272907
585,0.272907
586,0.272907
587,0.286577
588,0.286577
589,0.286577
590,0.286577
591,0.286577
592,0.286577
593,0.286577
594,0.272907
595,0.259236
596,0.259236
597,0.259236
598,0.259236
599,0.259236
600,0.259236
601,0.272907
602,0.272907
603,0.272907
604,0.286577
605,0.286577
606,0.313918
607,0.327588
608,0.354929
609,0.354929
610,0.354929
611,0.3686
612,0.3686
613,0.3686
614,0.354929
615,0.354929
616,0.341259
617,0.327588
618,0.313918
619,0.313918
620,0.313918
621,0.313918
622,0.313918
623,0.286577
624,0.286577
625,0.286577
626,0.286577
627,0.286577
628,0.300248
629,0.300248
630,0.286577
631,0.286577
632,0.286577
633,0.286577
634,0.272907
635,0.286577
636,0.272907
637,0.272907
638,0.272907
639,0.272907
640,0.272907
641,0.272907
642,0.272907
643,0.272907
644,0.286577
645,0.286577
646,0.272907
647,0.272907
648,0.272907
649,0.272907
650,0.272907
651,0.272907
652,0.272907
653,0.272907
654,0.272907
655,0.272907
656,0.272907
657,0.272907
658,0.272907
659,0.272907
660,0.272907
661,0.272907
662,0.272907
663,0.286577
664,0.272907
665,0.272907
666,0.272907
667,0.272907
668,0.272907
669,0.272907
670,0.272907
671,0.272907
672,0.272907
673,0.272907
674,0.272907
675,0.272907
676,0.272907
677,0.286577
678,0.286577
679,0.286577
680,0.286577
681,0.272907
682,0.272907
683,0.272907
684,0.272907
685,0.272907
686,0.286577
687,0.286577
688,0.272907
689,0.272907
690,0.272907
691,0.272907
692,0.286577
693,0.272907
694,0.272907
695,0.272907
696,0.272907
697,0.272907
698,0.272907
699,0.272907
700,0.272907
701,0.272907
702,0.272907
703,0.272907
704,0.272907
705,0.272907
706,0.272907
707,0.272907
708,0.286577
709,0.300248
710,0.300248
711,0.300248
712,0.300248
713,0.300248
714,0.300248
715,0.300248
716,0.300248
717,0.300248
718,0.286577
719,0.272907
720,0.272907
721,0.272907
722,0.272907
723,0.286577
724,0.286577
725,0.286577
726,0.286577
727,0.272907
728,0.286577
729,0.286577
730,0.286577
731,0.286577
732,0.286577
733,0.286577
734,0.286577
735,0.286577
736,0.286577
737,0.286577
738,0.286577
739,0.286577
740,0.286577
741,0.286577
742,0.313918
743,0.313918
744,0.3686
745,0.3686
746,0.3686
747,0.3686
748,0.3686
749,0.3686
750,0.313918
751,0.300248
752,0.300248
753,0.300248
754,0.300248
755,0.300248
756,0.313918
757,0.354929
758,0.354929
759,0.354929
760,0.354929
761,0.354929
762,0.354929
763,0.354929
764,0.341259
765,0.313918
766,0.300248
767,0.286577
768,0.286577
769,0.286577
770,0.286577
771,0.272907
772,0.272907
773,0.272907
774,0.272907
775,0.259236
776,0.272907
777,0.272907
778,0.272907
779,0.272907
780,0.272907
781,0.272907
782,0.272907
783,0.259236
784,0.272907
785,0.272907
786,0.272907
787,0.272907
788,0.272907
789,0.259236
790,0.272907
791,0.272907
792,0.272907
793,0.272907
794,0.272907
795,0.272907
796,0.272907
797,0.286577
798,0.286577
799,0.300248
800,0.300248
801,0.300248
802,0.313918
803,0.313918
804,0.327588
805,0.341259
806,0.341259
807,0.341259
808,0.341259
809,0.341259
810,0.354929
811,0.354929
812,0.354929
813,0.341259
814,0.341259
815,0.313918
816,0.313918
817,0.300248
818,0.300248
819,0.300248
820,0.300248
821,0.286577
822,0.286577
823,0.300248
824,0.300248
825,0.300248
826,0.300248
827,0.300248
828,0.300248
829,0.286577
830,0.286577
831,0.286577
832,0.286577
833,0.272907
834,0.272907
835,0.272907
836,0.272907
837,0.286577
838,0.272907
839,0.286577
840,0.272907
841,0.286577
842,0.272907
843,0.272907
844,0.272907
845,0.272907
846,0.286577
847,0.286577
848,0.286577
849,0.286577
850,0.327588
851,0.341259
852,0.354929
853,0.354929
854,0.354929
855,0.3686
856,0.3686
